SurveyScore,CPUSpeed,RAM,Harddrive,NUSB,Battery,ScreenRes,Bluetooth,TouchScreen,OS
38,2.75,8,2.0,5,55,1024,No,Yes,Windows
41,2.00,8,2.0,4,60,1024,Yes,No,SkyOS
43,2.50,16,2.0,3,55,1600,Yes,No,Chrome OS
31,2.25,32,2.0,7,35,1366,Yes,Yes,Windows
35,2.00,32,1.0,5,48,1366,Yes,No,Linux
40,2.25,32,1.5,7,40,1600,No,Yes,Chrome OS
35,2.25,32,1.5,3,58,1280,Yes,No,Linux
29,2.00,4,2.0,3,60,1280,Yes,No,Linux
38,2.75,4,1.0,7,50,1366,Yes,Yes,SkyOS
33,2.50,16,0.5,3,45,1600,Yes,No,Windows
29,3.00,4,0.5,8,40,1280,No,Yes,Windows
32,2.50,16,1.0,6,48,1600,No,Yes,Linux
34,3.00,4,1.0,6,60,1600,No,No,Windows
33,2.25,16,0.3,2,35,1024,No,No,Windows
40,3.00,8,2.0,5,55,1280,No,Yes,SkyOS
46,3.00,16,0.5,6,60,1600,No,Yes,SkyOS
36,2.00,16,2.0,2,55,1366,Yes,Yes,Chrome OS
28,2.75,8,0.3,2,45,1280,Yes,Yes,Linux
47,2.75,32,1.0,8,45,1366,Yes,Yes,Windows
36,2.75,32,1.0,5,48,1280,No,Yes,Linux
27,3.00,32,0.3,5,35,1280,No,No,Chrome OS
26,2.25,8,0.5,5,45,1600,Yes,Yes,Chrome OS
38,2.75,4,0.3,5,58,1024,Yes,Yes,Linux
30,3.00,4,0.3,3,50,1600,No,No,SkyOS
24,2.00,16,1.0,8,35,1280,No,No,Linux
31,2.00,16,2.0,8,60,1366,Yes,Yes,Windows
41,3.00,4,2.0,3,50,1280,Yes,No,SkyOS
27,2.00,4,2.0,6,40,1024,Yes,No,SkyOS
29,2.50,4,0.5,6,58,1600,No,Yes,Chrome OS
40,2.00,16,0.3,7,45,1024,Yes,No,Chrome OS
33,3.00,4,0.3,6,55,1366,Yes,No,Windows
36,2.25,4,2.0,4,35,1024,Yes,No,Chrome OS
31,2.25,16,2.0,7,60,1280,No,No,Linux
26,2.00,4,0.3,2,40,1280,No,No,Linux
41,2.75,16,1.0,7,45,1600,No,No,Linux
33,2.00,32,2.0,5,35,1366,No,No,SkyOS
26,2.25,32,1.0,4,40,1366,No,No,Windows
39,2.75,8,0.5,8,58,1600,No,Yes,Chrome OS
32,2.25,32,0.5,2,60,1600,No,No,Windows
42,2.75,4,2.0,7,55,1366,No,Yes,SkyOS
36,2.50,8,1.5,4,58,1280,Yes,No,Linux
35,2.00,8,0.5,2,48,1366,Yes,Yes,Chrome OS
36,3.00,8,1.0,2,50,1600,Yes,Yes,Chrome OS
29,2.25,16,1.0,2,55,1280,No,Yes,Windows
37,2.00,4,1.5,4,58,1024,Yes,Yes,SkyOS
25,2.25,32,0.3,3,40,1024,No,Yes,Linux
38,2.25,32,1.0,3,58,1024,Yes,No,Windows
37,2.75,16,1.5,7,50,1280,No,Yes,Chrome OS
37,3.00,16,1.5,7,55,1366,No,No,Linux
35,2.00,32,2.0,6,40,1024,No,Yes,Chrome OS
34,2.75,32,2.0,8,48,1280,No,Yes,Chrome OS
34,2.25,8,0.5,5,60,1600,No,Yes,Linux
34,2.75,8,2.0,8,35,1600,Yes,Yes,Linux
37,2.00,32,0.3,4,48,1366,No,Yes,SkyOS
28,2.25,16,2.0,3,50,1024,Yes,No,Windows
26,3.00,4,0.3,4,58,1024,No,No,Windows
38,2.75,16,2.0,8,55,1366,No,No,Windows
33,2.25,8,1.0,7,50,1366,No,Yes,Windows
37,2.75,4,0.3,2,48,1024,No,No,Linux
27,2.50,4,1.5,8,58,1366,No,No,Windows
35,2.00,32,1.0,5,40,1280,No,Yes,Chrome OS
36,3.00,32,0.5,8,58,1024,No,No,Windows
37,3.00,8,2.0,6,60,1280,No,Yes,Chrome OS
25,2.75,8,0.3,7,48,1600,Yes,Yes,Windows
42,2.75,32,2.0,2,40,1280,Yes,No,Linux
34,2.00,32,1.5,6,40,1366,Yes,Yes,Chrome OS
32,3.00,16,1.5,5,45,1366,No,Yes,SkyOS
35,2.75,32,2.0,4,35,1024,Yes,Yes,Linux
38,2.00,8,0.3,5,50,1280,Yes,Yes,Linux
34,3.00,16,1.5,3,55,1600,No,Yes,SkyOS
34,2.50,8,1.5,8,45,1024,Yes,Yes,Windows
36,2.50,16,0.5,7,50,1600,Yes,No,Linux
37,2.50,16,0.3,5,45,1366,No,No,SkyOS
35,2.00,8,1.0,6,50,1366,Yes,Yes,Linux
35,2.50,4,1.5,2,58,1600,No,Yes,Windows
38,2.00,8,1.5,8,55,1280,Yes,No,SkyOS
33,2.25,8,1.5,2,35,1600,No,Yes,Linux
36,3.00,4,0.5,7,35,1600,Yes,No,SkyOS
27,2.25,16,0.5,8,40,1366,Yes,Yes,Chrome OS
40,3.00,4,2.0,3,50,1600,No,No,Linux
39,3.00,8,1.5,5,45,1024,Yes,No,SkyOS
31,2.00,16,1.5,4,35,1366,Yes,No,Linux
43,2.50,32,0.5,7,50,1280,Yes,Yes,SkyOS
27,2.50,16,1.5,8,40,1280,Yes,Yes,Linux
34,2.50,8,1.0,5,45,1600,No,No,SkyOS
42,2.50,32,0.3,6,55,1024,No,No,Linux
34,2.25,8,1.0,6,60,1280,Yes,Yes,SkyOS
26,2.50,32,1.0,2,58,1024,No,Yes,Windows
29,2.50,4,1.0,7,60,1600,No,Yes,Linux
22,2.00,8,0.5,7,48,1366,Yes,No,Windows
39,3.00,16,1.5,6,35,1280,Yes,Yes,Chrome OS
40,2.75,8,1.5,6,40,1280,Yes,Yes,Chrome OS
33,2.50,32,0.5,2,48,1600,Yes,No,SkyOS
32,2.25,16,1.0,7,35,1600,No,Yes,SkyOS
36,2.50,4,1.5,2,45,1024,Yes,Yes,Chrome OS
33,3.00,16,1.5,3,35,1024,Yes,No,Chrome OS
34,2.50,4,0.5,4,45,1024,Yes,Yes,Windows
34,2.75,4,1.5,6,55,1280,Yes,No,SkyOS
38,2.50,8,0.3,5,45,1366,No,No,Windows
34,2.75,32,1.5,4,50,1366,Yes,No,Chrome OS
33,2.50,32,0.3,2,48,1280,No,No,SkyOS
38,3.00,16,0.5,3,60,1280,Yes,No,Chrome OS
38,2.75,16,0.5,8,48,1366,Yes,Yes,SkyOS
29,2.25,32,0.5,2,60,1366,No,Yes,SkyOS
39,3.00,16,2.0,4,48,1600,Yes,No,Windows
29,2.00,4,0.3,4,35,1024,Yes,Yes,Windows
42,2.75,8,1.0,4,60,1366,No,No,Linux
33,2.25,32,1.0,7,58,1366,Yes,Yes,SkyOS
38,2.50,4,0.3,4,48,1280,Yes,No,Windows
31,2.00,8,0.3,8,60,1024,No,No,Chrome OS
37,3.00,8,0.5,5,55,1366,No,No,Chrome OS
34,2.75,8,1.5,3,58,1024,Yes,Yes,SkyOS
35,2.25,32,0.3,4,48,1024,Yes,No,Windows
31,2.75,4,0.5,4,58,1280,No,Yes,SkyOS
38,2.50,32,0.5,2,50,1600,No,No,SkyOS
23,2.00,16,1.0,3,40,1024,No,Yes,Chrome OS
32,3.00,4,0.3,3,50,1024,No,No,Chrome OS
31,2.25,4,0.5,3,45,1024,No,No,Linux
31,2.25,4,1.0,8,40,1600,Yes,No,Chrome OS
28,2.50,8,0.3,6,55,1600,No,No,Chrome OS
